"Participant_id","Gender","Women_Protection","Religion_Level","Age","Highest_Edu_Lvl"
54060,1,4,0,56,322
54081,0,2,5,32,322
54136,1,2,5,54,322
54159,1,2,1,52,322
54171,1,3,3,35,720
54172,0,2,4,69,322
54175,1,2,5,34,322
54185,0,1,8,48,322
54206,1,2,5,26,423
54236,1,2,8,85,212
54257,1,2,1,57,322
54260,1,3,3,69,720
54342,0,2,3,66,322
54344,0,2,1,71,322
54364,0,2,6,82,423
54389,0,2,5,85,212
54439,1,5,8,27,313
54458,1,3,6,60,322
54499,1,2,4,55,322
54515,0,5,1,57,720
54554,0,2,3,52,720
54557,0,1,8,49,322
54571,1,3,6,41,520
54578,0,1,8,76,423
54588,0,3,5,41,710
54675,1,2,0,85,322
54687,0,2,3,21,212
54697,0,4,7,76,322
54730,1,2,9,88,212
54735,1,3,8,76,322
54739,0,2,6,33,322
54744,1,4,1,66,800
54796,0,2,6,84,322
54801,1,2,6,89,422
54837,1,4,1,33,610
54871,1,1,0,28,212
54886,1,4,8,34,610
54929,0,2,6,44,610
54930,0,2,7,51,322
54936,0,3,2,37,423
54937,0,1,10,24,322
54957,1,3,7,76,113
54962,0,3,8,69,322
55024,1,2,4,64,322
55040,1,2,8,83,212
55046,1,3,5,25,212
55057,1,4,7,60,322
55064,1,3,0,74,113
55093,1,4,3,31,322
55120,0,2,0,44,620
55127,1,2,1,52,423
55129,1,2,9,75,322
55158,0,2,1,20,313
55187,1,4,1,36,313
55196,0,1,2,44,322
55197,1,2,5,41,423
55206,0,3,0,75,322
55208,1,3,7,48,322
55232,1,2,0,30,322
55248,1,3,2,58,322
55261,0,3,0,72,322
55270,1,3,9,24,423
55274,1,2,5,22,322
55301,1,3,1,20,313
55343,1,2,0,24,322
55366,1,3,8,34,422
55370,1,2,10,72,322
55387,1,2,3,57,720
55421,0,4,8,89,322
55451,1,2,8,77,423
55457,1,1,5,90,322
55471,1,3,9,79,212
55483,1,3,0,26,322
55504,1,3,1,40,322
55527,1,1,10,28,710
55547,1,2,5,64,313
55548,1,2,2,15,213
55551,1,2,4,49,322
55553,1,2,4,30,322
55555,0,4,6,61,322
55585,1,3,6,76,212
55600,1,3,7,53,423
55626,1,3,6,30,322
55650,1,5,2,76,423
55716,0,3,2,29,322
55726,1,2,9,72,322
55741,0,3,2,58,322
55758,1,2,0,63,212
55813,0,3,4,18,322
55816,0,2,5,57,5555
55858,1,2,3,59,322
55919,0,3,0,57,322
55939,1,2,8,81,212
55952,1,2,5,47,313
55963,1,2,7,60,322
55974,0,2,0,67,422
56061,0,1,8,72,520
56076,1,1,7,42,313
56094,0,1,3,76,212
56116,1,1,7,64,322
56127,1,5,0,35,720
56131,1,2,88,15,322
56133,1,2,6,65,322
56138,0,3,7,47,313
56141,1,2,7,71,212
56159,0,2,5,43,520
56160,0,2,4,74,520
56183,0,2,8,56,322
56190,0,2,4,40,322
56209,1,2,6,64,212
56218,0,2,5,48,313
56237,1,2,5,70,322
56273,1,5,0,22,313
56289,0,1,5,60,610
56315,1,3,7,54,212
56326,0,2,0,27,322
56343,0,2,5,82,322
56379,1,2,5,60,212
56388,0,3,7,51,423
56459,1,4,9,57,322
56480,1,1,8,84,322
56481,1,2,5,71,322
56496,0,3,0,58,322
56533,0,2,2,43,322
56559,1,2,8,39,113
56567,0,3,7,39,322
56583,1,3,8,75,610
56584,0,2,0,67,212
56615,0,1,6,33,322
56618,1,3,0,31,422
56637,0,2,0,51,322
56665,0,2,4,74,322
56667,0,3,2,47,720
56678,1,3,4,74,322
56693,1,1,5,46,322
56730,1,1,8,55,322
56746,0,2,0,57,322
56769,1,2,4,84,322
56774,0,2,1,16,213
56796,0,2,7,74,322
56805,0,2,10,67,322
56846,0,3,5,60,322
56854,1,1,9,71,720
56857,0,2,88,55,322
56866,0,1,10,31,213
56870,1,3,2,33,322
56882,0,3,6,30,322
56928,0,3,3,42,610
56929,1,4,4,72,322
56930,1,3,0,56,322
56942,1,3,6,48,423
56949,1,1,3,29,322
56950,0,1,10,80,322
56977,0,2,2,52,322
56984,1,2,10,37,322
56993,0,4,7,62,322
56999,1,2,8,27,422
57012,0,3,3,67,313
57017,1,2,8,90,212
57031,0,5,10,70,322
57035,0,3,2,45,620
57038,0,3,5,44,322
57050,1,3,0,52,313
57073,1,2,7,54,322
57074,1,3,8,59,5555
57090,1,3,2,33,313
57129,0,3,5,33,212
57166,1,3,4,71,720
57169,0,2,5,43,610
57182,0,3,6,38,322
57232,0,2,4,34,322
57251,0,2,1,66,720
57261,0,2,10,85,322
57264,1,3,8,60,322
57285,1,2,3,56,322
57334,1,3,8,28,322
57348,1,2,8,49,322
57354,1,3,88,26,610
57360,0,2,5,48,423
57365,0,3,5,75,322
57367,0,2,3,49,322
57387,0,2,3,57,322
57390,0,1,10,23,322
57396,1,2,3,69,422
57400,1,2,3,77,322
57402,0,3,2,34,322
57406,1,4,0,42,610
57412,0,2,2,79,322
57417,0,2,4,42,423
57476,0,2,7,73,212
57492,1,3,1,32,212
57498,0,2,4,80,212
57509,1,4,8,62,113
57522,0,3,5,68,322
57554,0,2,7,49,710
57586,1,2,0,60,212
57589,1,2,9,80,212
57607,0,4,3,43,720
57640,1,2,6,41,422
57661,1,3,8,55,322
57662,1,4,9,25,313
57678,0,2,2,34,423
57682,1,3,2,48,322
57692,0,2,2,58,423
57726,1,5,7,79,322
57727,0,2,9,24,423
57737,1,2,0,62,212
57738,1,2,10,83,322
